FECHA;LATITUD;LONGITUD;PEATONES
2021-01-01 04:00:00;40,42695341;-3,69448847;53.0
2021-01-01 04:00:00;40,43046926;-3,713297939;19.0
2021-01-01 05:00:00;40,405367;-3,701798;93.0
2021-01-01 05:00:00;40,409118;-3,692441;1.0
2021-01-01 05:00:00;40,41110888;-3,696471467;19.0
2021-01-01 05:00:00;40,41289138;-3,707464267;17.0
2021-01-01 05:00:00;40,41338702;-3,697740186;4.0
2021-01-01 05:00:00;40,41373441;-3,723947718;0.0
2021-01-01 05:00:00;40,415111;-3,713569;3.0
2021-01-01 05:00:00;40,41637598;-3,706029098;0.0
2021-01-01 05:00:00;40,41664098;-3,701246554;28.0
2021-01-01 05:00:00;40,418256;-3,697732;183.0
2021-01-01 05:00:00;40,41990798;-3,692363251;26.0
2021-01-01 05:00:00;40,42015321;-3,70435898;9.0
2021-01-01 05:00:00;40,4202703;-3,704325575;2.0
2021-01-01 05:00:00;40,42107227;-3,70049043;4.0
2021-01-01 05:00:00;40,42200905;-3,700891722;117.0
2021-01-01 05:00:00;40,42380314;-3,707379398;2.0
2021-01-01 05:00:00;40,42479893;-3,712094845;1.0
2021-01-01 05:00:00;40,42695341;-3,69448847;45.0
2021-01-01 05:00:00;40,43046926;-3,713297939;7.0
2021-01-01 06:00:00;40,405367;-3,701798;76.0
2021-01-01 06:00:00;40,409118;-3,692441;2.0
2021-01-01 06:00:00;40,41110888;-3,696471467;8.0
2021-01-01 06:00:00;40,41289138;-3,707464267;7.0
2021-01-01 06:00:00;40,41338702;-3,697740186;3.0
2021-01-01 06:00:00;40,41373441;-3,723947718;0.0
2021-01-01 06:00:00;40,415111;-3,713569;1.0
2021-01-01 06:00:00;40,41637598;-3,706029098;4.0
2021-01-01 06:00:00;40,41664098;-3,701246554;18.0
2021-01-01 06:00:00;40,418256;-3,697732;182.0
2021-01-01 06:00:00;40,41990798;-3,692363251;51.0
2021-01-01 06:00:00;40,42015321;-3,70435898;2.0
2021-01-01 06:00:00;40,4202703;-3,704325575;33.0
2021-01-01 06:00:00;40,42107227;-3,70049043;5.0
2021-01-01 06:00:00;40,42200905;-3,700891722;213.0
2021-01-01 06:00:00;40,42380314;-3,707379398;28.0
2021-01-01 06:00:00;40,42479893;-3,712094845;0.0
2021-01-01 06:00:00;40,42695341;-3,69448847;36.0
2021-01-01 06:00:00;40,43046926;-3,713297939;6.0
